Symptom,Age Group,Medicine,Dosage
Ear pain,1-3 years,Amoxicillin syrup + Paracetamol,Amoxicillin 20-40 mg/kg/day divided + Paracetamol 120 mg every 4-6 hrs
Ear pain,3-6 years,Amoxicillin syrup ± Paracetamol,"Amoxicillin per pediatric dosing (e.g., 20-45 mg/kg/day divided); Paracetamol 250 mg every 4-6 hrs"
Ear pain,6-15 years,Amoxicillin or Azithromycin + Paracetamol tablet/syrup,Amoxicillin dosing per pediatric guidance; Paracetamol 500 mg every 4-6 hrs
Ear pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Nose blocking,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Nose blocking,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Nose blocking,3-6 years,Paracetamol syrup + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Nose blocking,6-15 years,Paracetamol tablet/syrup + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Nose blocking,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Mouth ulcers,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Mouth ulcers,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Mouth ulcers,3-6 years,Paracetamol syrup + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Mouth ulcers,6-15 years,Paracetamol tablet/syrup + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Mouth ulcers,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Throat pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Throat pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Throat pain,3-6 years,Paracetamol syrup + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Throat pain,6-15 years,Amoxicillin or Azithromycin + Paracetamol tablet/syrup,Amoxicillin dosing per pediatric guidance; Paracetamol 500 mg every 4-6 hrs
Throat pain,Above 15 years,acetaminophen/ibuprofen + lozenges + benzocaine/menthol,"take dosage 2 time per day , i.e., morning and evening"
Body pains,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Body pains,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Body pains,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Body pains,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Body pains,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Stomach pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Stomach pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Stomach pain,3-6 years,Paracetamol syrup + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Stomach pain,6-15 years,Paracetamol tablet/syrup + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Stomach pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Acidity,Below 1 year,grype water,give a spoon full after feeding trhe baby
Acidity,1-3 years,Antacid tablets/ Antacid Syrup,"After every meal, repeat morning, Afternoon, night"
Acidity,3-6 years,Antacid tablets/ Antacid Syrup,"After every meal, repeat morning, Afternoon, night"
Acidity,6-15 years,Antacid tablets/ Antacid Syrup,"After every meal, repeat morning, Afternoon, night"
Acidity,Above 15 years,Antacid tablets/ Antacid Syrup,"After every meal, repeat morning, Afternoon, night"
Vomiting,Below 1 year,ORS + Supportive care,ORS small frequent feeds; seek pediatric advice for rehydration volumes
Vomiting,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Vomiting,3-6 years,ORS + Zinc syrup + Probiotic,ORS volumes per clinician; Zinc 10-20 mg daily; Probiotic once daily
Vomiting,6-15 years,Paracetamol tablet/syrup + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Vomiting,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Fever,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Fever,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Fever,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Fever,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Fever,Above 15 years,Paracetamol ± specific antimicrobial/supportive treatment,"Paracetamol 500-650 mg every 4-6 hrs as needed; specific therapy per diagnosis (e.g., antimalarial, antibiotics)"
Eye redness,Below 1 year,Saline eye drops / supportive care,Saline drops 1-2 drops as needed; refer to pediatrician for antibiotic drops if infected
Eye redness,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Eye redness,3-6 years,Paracetamol syrup + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Eye redness,6-15 years,Paracetamol tablet/syrup + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Eye redness,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Back pain,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Back pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Back pain,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Back pain,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Back pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Toothache,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Toothache,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Toothache,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Toothache,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Toothache,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Neck pain,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Neck pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Neck pain,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Neck pain,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Neck pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Loose motions,Below 1 year,ORS + Supportive care,ORS small frequent feeds; seek pediatric advice for rehydration volumes
Loose motions,1-3 years,ORS + Zinc syrup,ORS small frequent volumes; Zinc 10-20 mg daily for 10-14 days if recommended
Loose motions,3-6 years,ORS + Zinc syrup + Probiotic,ORS volumes per clinician; Zinc 10-20 mg daily; Probiotic once daily
Loose motions,6-15 years,ORS + Zinc + Antiemetic if needed,ORS as required; Zinc 20 mg daily; Ondansetron 2-4 mg if severe vomiting (per clinician)
Loose motions,Above 15 years,ORS + Antidiarrheal ± Antibiotic if invasive,ORS as needed; Loperamide only if non-invasive diarrhea in adults; antibiotics if indicated
Body weakness,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Body weakness,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Body weakness,3-6 years,Paracetamol syrup + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Body weakness,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Body weakness,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Cold,Below 1 year,"Supportive care (saline nasal drops, humidification)",Saline 2-3 drops; no OTC cough syrups — consult pediatrician
Cold,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Cold,3-6 years,Paracetamol syrup + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Cold,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Cold,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Cough (dry),Below 1 year,"Supportive care (saline nasal drops, humidification)",Saline 2-3 drops; no OTC cough syrups — consult pediatrician
Cough (dry),1-3 years,Supportive care ± antibiotic if bacterial (per doctor),Supportive; antibiotics if bacterial per clinician (amoxicillin dosing per kg)
Cough (dry),3-6 years,Paracetamol syrup + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Cough (dry),6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Cough (dry),Above 15 years,Antibiotic if bacterial (Amoxicillin/Azithromycin) + Expectorant/Salbutamol if wheeze,Amoxicillin 500 mg TDS or per local guidelines; Azithromycin 500 mg once daily for 3 days as alternative
Cough (wet),Below 1 year,"Supportive care (saline nasal drops, humidification)",Saline 2-3 drops; no OTC cough syrups — consult pediatrician
Cough (wet),1-3 years,Supportive care ± antibiotic if bacterial (per doctor),Supportive; antibiotics if bacterial per clinician (amoxicillin dosing per kg)
Cough (wet),3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Cough (wet),6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Cough (wet),Above 15 years,Antibiotic if bacterial (Amoxicillin/Azithromycin) + Expectorant/Salbutamol if wheeze,Amoxicillin 500 mg TDS or per local guidelines; Azithromycin 500 mg once daily for 3 days as alternative
Asthma,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Asthma,1-3 years,Salbutamol nebulizer/inhaler + Pediatric steroid if needed,Salbutamol 1-2 puffs/nebulizer as per clinician
Asthma,3-6 years,Salbutamol inhaler + Montelukast if indicated,Salbutamol 2 puffs as needed; Montelukast 4-5 mg nightly if prescribed
Asthma,6-15 years,Salbutamol inhaler + Montelukast + Short steroid course if severe,Salbutamol 2 puffs as needed; Montelukast 5-10 mg nightly depending on age
Asthma,Above 15 years,Salbutamol inhaler + Montelukast + Oral steroid short course if severe,Salbutamol 2 puffs PRN; Montelukast 10 mg nightly; Prednisolone 20-40 mg daily short course if prescribed
Allergy,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Allergy,1-3 years,Antihistamine syrup + Topical agent if needed,Cetirizine 2.5-5 mg daily; hydrocortisone 1% cream for mild eczema if advised
Allergy,3-6 years,Antihistamine syrup + Topical steroid/cream,Cetirizine 5 mg daily; hydrocortisone cream 1% twice daily if needed
Allergy,6-15 years,Antihistamine + Topical steroid/antifungal,Cetirizine 5-10 mg daily; topical agents as per clinician
Allergy,Above 15 years,Topical agents ± oral antihistamine or antifungal,Oral antihistamine (Cetirizine 10 mg daily); topical steroid/antifungal per clinician
Skin rash,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Skin rash,1-3 years,Topical treatment ± oral if severe,Topical creams (hydrocortisone 1% for mild eczema) or antifungal creams as advised
Skin rash,3-6 years,Antihistamine syrup + Topical steroid/cream,Cetirizine 5 mg daily; hydrocortisone cream 1% twice daily if needed
Skin rash,6-15 years,Antihistamine + Topical steroid/antifungal,Cetirizine 5-10 mg daily; topical agents as per clinician
Skin rash,Above 15 years,Topical agents ± oral antihistamine or antifungal,Oral antihistamine (Cetirizine 10 mg daily); topical steroid/antifungal per clinician
Constipation,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Constipation,1-3 years,Laxative (Lactulose) + Fluids/Lifestyle,Lactulose 1-3 mL/kg/day divided; dietary fiber/fluids per pediatrician
Constipation,3-6 years,Laxative (Lactulose) + Fluids/Lifestyle,Lactulose 10-20 mL/day divided; dietary fiber/fluids per pediatrician
Constipation,6-15 years,Osmotic laxative (PEG) + Fluids/Lifestyle,Polyethylene glycol 0.4-0.8 g/kg/day; increase fiber and fluids
Constipation,Above 15 years,Osmotic laxative (PEG) + Lifestyle,Polyethylene glycol 17 g daily; increase fiber and fluids
Indigestion,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Indigestion,1-3 years,Supportive care ± pediatric antacid (per clinician),Small frequent meals; pediatric antacid only if advised by clinician
Indigestion,3-6 years,Dietary measures ± pediatric antacid (per clinician),Avoid triggers; pediatric antacid only if advised by clinician
Indigestion,6-15 years,Antacid (short course) + Lifestyle,Simple antacids PRN; avoid trigger foods; clinician if persistent
Indigestion,Above 15 years,PPI or H2 blocker + Lifestyle,Omeprazole 20 mg daily or Famotidine 20 mg BID for 2-4 weeks if needed
Migraine,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Migraine,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Migraine,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Migraine,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Migraine,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Joint pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Joint pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Joint pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Joint pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Joint pain,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Arthritis,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Arthritis,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Arthritis,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Arthritis,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Arthritis,Above 15 years,NSAID (Aceclofenac or Ibuprofen) + PPI (Rabeprazole/Pantoprazole) + Supplement if needed,Aceclofenac 100 mg twice daily or Ibuprofen 400 mg every 6-8 hrs + Rabeprazole 20 mg daily; add Vit D/calcium if indicated
Gastritis,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Gastritis,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Gastritis,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Gastritis,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Gastritis,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Diabetes fatigue,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Diabetes fatigue,1-3 years,Optimize glycemic control (per clinician),Adjust insulin/meds per endocrinology; screen for complications
Diabetes fatigue,3-6 years,Optimize glycemic control (per clinician),Adjust therapy per pediatrics/endocrinology; evaluate causes
Diabetes fatigue,6-15 years,Optimize glycemic control (per clinician),Adjust regimen per endocrinology; evaluate causes of fatigue
Diabetes fatigue,Above 15 years,Optimize glycemic control (per clinician),Adjust therapy per clinician; evaluate anemia/thyroid/sleep
Hypertension headache,Below 1 year,Paracetamol (drops),Paracetamol 15 mg/kg every 4-6 hrs as needed (follow pediatrician)
Hypertension headache,1-3 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 120 mg every 4-6 hrs as needed; Ibuprofen 100 mg every 6-8 hrs if needed
Hypertension headache,3-6 years,Paracetamol syrup ± Ibuprofen syrup,Paracetamol 250 mg every 4-6 hrs as needed; Ibuprofen 200 mg every 6-8 hrs if needed
Hypertension headache,6-15 years,Paracetamol tablet/syrup ± Ibuprofen,Paracetamol 500 mg every 4-6 hrs as needed (max 4 doses/day); Ibuprofen 200-300 mg every 6-8 hrs if needed
Hypertension headache,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Chest pain (mild),Below 1 year,Refer to pediatrician (possible Amoxicillin drops),"Amoxicillin dosing per pediatric guidelines (e.g., 15-30 mg/kg/day divided) — prescribe per clinician"
Chest pain (mild),1-3 years,Clinical evaluation; avoid self-medication,Seek clinician assessment; urgent care if severe or associated symptoms
Chest pain (mild),3-6 years,Clinical evaluation; avoid self-medication,Seek clinician assessment; urgent care if severe or associated symptoms
Chest pain (mild),6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Chest pain (mild),Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Breathlessness,Below 1 year,Refer to pediatrician (possible Amoxicillin drops),"Amoxicillin dosing per pediatric guidelines (e.g., 15-30 mg/kg/day divided) — prescribe per clinician"
Breathlessness,1-3 years,Salbutamol nebulizer/inhaler + Pediatric steroid if needed,Salbutamol 1-2 puffs/nebulizer as per clinician
Breathlessness,3-6 years,Urgent clinical evaluation; bronchodilator if wheeze,Salbutamol 2 puffs PRN per clinician; seek urgent care if distress
Breathlessness,6-15 years,Urgent clinical evaluation; bronchodilator if wheeze,Salbutamol 2 puffs PRN per clinician; seek urgent care if distress
Breathlessness,Above 15 years,Salbutamol inhaler + Montelukast + Oral steroid short course if severe,Salbutamol 2 puffs PRN; Montelukast 10 mg nightly; Prednisolone 20-40 mg daily short course if prescribed
Anemia fatigue,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Anemia fatigue,1-3 years,Iron supplementation (per clinician) + Evaluation,Elemental iron ~3 mg/kg/day; check cause and follow-up
Anemia fatigue,3-6 years,Iron supplementation (per clinician) + Evaluation,Elemental iron dosing per weight; evaluate etiology
Anemia fatigue,6-15 years,Iron therapy (per clinician) + Evaluation,Elemental iron 2-3 mg/kg/day; reassess Hgb and ferritin
Anemia fatigue,Above 15 years,Iron therapy (per clinician) + Evaluation,Ferrous sulfate 325 mg (65 mg elemental) once-twice daily; assess cause
Dehydration,Below 1 year,ORS + Supportive care,ORS small frequent feeds; seek pediatric advice for rehydration volumes
Dehydration,1-3 years,ORS + Zinc syrup,ORS small frequent volumes; Zinc 10-20 mg daily for 10-14 days if recommended
Dehydration,3-6 years,Paracetamol syrup + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Dehydration,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Dehydration,Above 15 years,ORS + Antidiarrheal ± Antibiotic if invasive,ORS as needed; Loperamide only if non-invasive diarrhea in adults; antibiotics if indicated
Anxiety,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Anxiety,1-3 years,Behavioral support + Specialist referral,Parental guidance
Anxiety,3-6 years,CBT/behavioral strategies + Specialist referral,School/parent training; refer to child psychologist if impairing
Anxiety,6-15 years,CBT; consider SSRI per specialist,Refer to mental health; pharmacotherapy only per specialist
Anxiety,Above 15 years,CBT; consider SSRI per clinician,Refer to mental health; medication only per clinician
Depression (mild),Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Depression (mild),1-3 years,Behavioral support + Specialist referral,Parental support; refer to pediatric mental health if persistent
Depression (mild),3-6 years,Psychological therapies + Specialist referral,CBT/play therapy per specialist
Depression (mild),6-15 years,Psychological therapies; meds per specialist,Refer to mental health; SSRIs only per specialist
Depression (mild),Above 15 years,Psychotherapy; SSRIs per clinician,Refer to mental health; consider SSRI if indicated
Insomnia,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Insomnia,1-3 years,Sleep hygiene + Behavioral strategies,Consistent routines; avoid caffeine/screens; clinician if persistent
Insomnia,3-6 years,Sleep hygiene + Behavioral strategies,Consistent routines; clinician if persistent
Insomnia,6-15 years,Sleep hygiene ± melatonin per clinician,Melatonin only if advised; evaluate causes
Insomnia,Above 15 years,Sleep hygiene; CBT-I; meds per clinician,CBT-I first-line; pharmacotherapy only per clinician
Obesity-related pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Obesity-related pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Obesity-related pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Obesity-related pain,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Obesity-related pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Menstrual cramps,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Menstrual cramps,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Menstrual cramps,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Menstrual cramps,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Menstrual cramps,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
Pregnancy nausea,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
Pregnancy nausea,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
Pregnancy nausea,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
Pregnancy nausea,6-15 years,Appropriate analgesic/antipyretic + supportive care,Paracetamol 500 mg every 4-6 hrs as needed
Pregnancy nausea,Above 15 years,Doxylamine + Pyridoxine (per OB guidance),Doxylamine 10 mg + Pyridoxine 10 mg up to TID per obstetrician; seek care if severe
UTI pain,Below 1 year,Supportive care / Pediatric review,Non-medical measures; consult pediatrician before systemic drugs
UTI pain,1-3 years,Paracetamol syrup + Supportive care,Paracetamol 120 mg every 4-6 hrs as needed; follow-up with clinician
UTI pain,3-6 years,Paracetamol + Multivitamin (if weakness) / Supportive care,Paracetamol 250 mg every 4-6 hrs as needed; multivitamin per label
UTI pain,6-15 years,Cefixime + Paracetamol tablet/syrup,Cefixime 8 mg/kg/day divided BID; Paracetamol 500 mg every 4-6 hrs
UTI pain,Above 15 years,Paracetamol or condition-specific therapy,Paracetamol 500-650 mg every 4-6 hrs as needed
